Id	CD6	CD7	CD8	CD9	CD10	CD1	CD2	CD3	CD4	CD5	norm.CD6	norm.CD7	norm.CD8	norm.CD9	norm.CD10	norm.CD1	norm.CD2	norm.CD3	norm.CD4	norm.CD5	baseMean	M	F	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
ENST00000334668	3	5	0	5	9	1037	94	973	1228	614	3	5	0	4	8	1210	91	892	1290	559	406.19	4	808	160.015	7.322	9.655	4.65895325894397e-22	3.82430178260416e-18	0.6696	0.4815	0.6311	0.6311	TRUE	0.0968
ENST00000610659	0	0	0	0	0	0	0	244	397	0	0	0	0	0	0	0	0	224	417	0	64.07	0	128	7668724.784	22.871	7.758	8.60222278694686e-15	4.70742304977689e-11	10	0.5363	8.5778	10	TRUE	0.1577
ENST00000436344	0	0	0	0	0	0	261	0	0	113	0	0	0	0	0	0	252	0	0	103	35.51	0	71	4397012.9	22.068	7.485	7.13623332578196e-14	2.92888856273406e-10	10	0.5887	8.1602	10	TRUE	0.2958
ENST00000365328	8	5	6	5	7	38	33	51	49	14	8	5	6	4	6	44	32	47	51	13	21.68	6	37	6.064	2.6	5.35	8.78004047578974e-08	0.000160157693878933	0	0.6636	0.2044	0.2044	TRUE	0.2498
ENST00000521182	0	0	0	1	3	49	16	32	75	9	0	0	0	1	3	57	15	29	79	8	19.26	1	38	35.703	5.158	5.285	1.25615422690461e-07	0.000187475308573573	0.7466	0.6878	0.7309	0.7309	TRUE	0.3098
ENST00000539387	0	1	0	0	0	9	12	10	8	8	0	1	0	0	0	11	12	9	8	7	4.79	0	9	25.161	4.653	4.98	6.37326257907097e-07	0.000747356084004343	0	1.3413	0.2436	0.2436	TRUE	0.316
ENST00000292494	60	30	30	20	140	3954	180	249	928	75	63	29	28	17	128	4614	174	228	975	68	632.47	53	1212	11.936	3.577	4.502	6.72302008721862e-06	0.00649246004540401	1.3405	0.4778	1.1973	1.1973	TRUE	1.5898
ENST00000361254	7	17	8	12	33	96	52	37	108	68	7	17	7	10	30	112	50	34	113	62	44.36	14	74	3.501	1.808	4.389	1.14038559448741e-05	0.00927668658904701	0.2687	0.5652	0.3082	0.3082	TRUE	0.1647
ENST00000394225	0	1	0	0	0	6	10	6	8	5	0	1	0	0	0	7	10	5	8	5	3.61	0	7	10.366	3.374	4.378	1.19730391039305e-05	0.00927668658904701	0	1.6264	0.3449	0.3449	TRUE	0.3031
ENST00000524773	0	2	1	0	5	38	28	10	10	17	0	2	1	0	5	44	27	9	11	15	11.4	2	21	6.912	2.789	4.355	1.33211590576253e-05	0.0095084116630015	0.5038	0.837	0.5865	0.5865	TRUE	0.4373
ENST00000425707	11	1	4	0	0	75	34	98	31	21	12	1	4	0	0	88	33	90	33	19	27.8	3	53	5.514	2.463	4.209	2.56989623827051e-05	0.0173629592929983	1.0759	0.6212	0.9486	0.9486	TRUE	0.4202
ENST00000626301	0	0	0	0	0	3	2	7	6	9	0	0	0	0	0	4	2	6	6	8	2.63	0	5	4.495	2.168	4.058	4.93996221391711e-05	0.0289640570235275	0	2.0544	0.6749	0.6749	TRUE	0.0699
ENST00000457657	0	7	4	0	0	25	26	20	31	14	0	7	4	0	0	29	25	18	33	13	12.85	2	24	2.69	1.428	3.967	7.27660394631839e-05	0.0411117775358447	0.6012	0.7957	0.6819	0.6819	TRUE	0.9017
ENST00000521003	0	2	0	0	1	133	12	4	13	1	0	2	0	0	1	155	12	4	14	1	18.79	1	37	3.567	1.835	3.959	7.51265959721839e-05	0.0411117775358447	2.3718	0.6931	1.9298	1.9298	TRUE	7.8535
ENST00000375746	0	0	0	0	0	17	42	20	2	0	0	0	0	0	0	20	41	18	2	0	8.09	0	16	2.913	1.542	3.893	9.91214990252823e-05	0.0493114439241836	3.5821	0.9869	2.3574	2.3574	TRUE	0.1099
ENST00000533567	15	13	9	5	13	23	50	39	22	31	16	13	8	4	12	27	48	36	23	28	21.52	11	32	1.394	0.479	3.899	9.64163246309033e-05	0.0493114439241836	0.07	0.665	0.1489	0.1489	TRUE	0.3479
